scenario_id,equivariant
case-3501,1
case-3502,1
case-3503,1
case-3504,1
case-3505,1
case-3506,1
case-3507,1
case-3508,1
case-3509,1
case-3510,1
case-3511,1
case-3512,1
case-3513,1
case-3514,1
case-3515,1
case-3516,1
case-3517,1
case-3518,1
case-3519,1
case-3520,1
case-3521,1
case-3522,1
case-3523,1
case-3524,1
case-3525,1
case-3526,1
case-3527,1
case-3528,1
case-3529,1
case-3530,1
case-3531,1
case-3532,1
case-3533,1
case-3534,1
case-3535,1
case-3536,1
case-3537,1
case-3538,1
case-3539,1
case-3540,1
case-3541,1
case-3542,1
case-3543,1
case-3544,1
case-3545,1
case-3546,1
case-3547,1
case-3548,1
case-3549,1
case-3550,1
case-3551,1
case-3552,1
case-3553,1
case-3554,1
case-3555,1
case-3556,1
case-3557,1
case-3558,1
case-3559,1
case-3560,1
case-3561,1
case-3562,1
case-3563,1
case-3564,1
case-3565,1
case-3566,1
case-3567,1
case-3568,1
case-3569,1
case-3570,1
case-3571,1
case-3572,1
case-3573,1
case-3574,1
case-3575,1
case-3576,1
case-3577,1
case-3578,1
case-3579,1
case-3580,1
case-3581,1
case-3582,1
case-3583,1
case-3584,1
case-3585,1
case-3586,1
case-3587,1
case-3588,1
case-3589,1
case-3590,1
case-3591,1
case-3592,1
case-3593,1
case-3594,1
case-3595,1
case-3596,1
case-3597,1
case-3598,1
case-3599,1
case-3600,1
case-3601,1
case-3602,1
case-3603,1
case-3604,1
case-3605,1
case-3606,1
case-3607,1
case-3608,1
case-3609,1
case-3610,1
case-3611,1
case-3612,1
case-3613,1
case-3614,1
case-3615,1
case-3616,1
case-3617,1
case-3618,1
case-3619,1
case-3620,1
case-3621,1
case-3622,1
case-3623,1
case-3624,1
case-3625,1
case-3626,1
case-3627,1
case-3628,1
case-3629,1
case-3630,1
case-3631,1
case-3632,1
case-3633,1
case-3634,1
case-3635,1
case-3636,1
case-3637,1
case-3638,1
case-3639,1
case-3640,1
case-3641,1
case-3642,1
case-3643,1
case-3644,1
case-3645,1
case-3646,1
case-3647,1
case-3648,1
case-3649,1
case-3650,1
case-3651,1
case-3652,1
case-3653,1
case-3654,1
case-3655,1
case-3656,1
case-3657,1
case-3658,1
case-3659,1
case-3660,1
case-3661,1
case-3662,1
case-3663,1
case-3664,1
case-3665,1
case-3666,1
case-3667,1
case-3668,1
case-3669,1
case-3670,1
case-3671,1
case-3672,1
case-3673,1
case-3674,1
case-3675,1
case-3676,1
case-3677,1
case-3678,1
case-3679,1
case-3680,1
case-3681,1
case-3682,1
case-3683,1
case-3684,1
case-3685,1
case-3686,1
case-3687,1
case-3688,1
case-3689,1
case-3690,1
case-3691,1
case-3692,1
case-3693,1
case-3694,1
case-3695,1
case-3696,1
case-3697,1
case-3698,1
case-3699,1
case-3700,1
case-3701,1
case-3702,1
case-3703,1
case-3704,1
case-3705,1
case-3706,1
case-3707,1
case-3708,1
case-3709,1
case-3710,1
case-3711,1
case-3712,1
case-3713,1
case-3714,1
case-3715,1
case-3716,1
case-3717,1
case-3718,1
case-3719,1
case-3720,1
case-3721,1
case-3722,1
case-3723,1
case-3724,1
case-3725,1
case-3726,1
case-3727,1
case-3728,1
case-3729,1
case-3730,1
case-3731,1
case-3732,1
case-3733,1
case-3734,1
case-3735,1
case-3736,1
case-3737,1
case-3738,1
case-3739,1
case-3740,1
case-3741,1
case-3742,1
case-3743,1
case-3744,1
case-3745,1
case-3746,1
case-3747,1
case-3748,1
case-3749,1
case-3750,1
case-3751,1
case-3752,1
case-3753,1
case-3754,1
case-3755,1
case-3756,1
case-3757,1
case-3758,1
case-3759,1
case-3760,1
case-3761,1
case-3762,1
case-3763,1
case-3764,1
case-3765,1
case-3766,1
case-3767,1
case-3768,1
case-3769,1
case-3770,1
case-3771,1
case-3772,1
case-3773,1
case-3774,1
case-3775,1
case-3776,1
case-3777,1
case-3778,1
case-3779,1
case-3780,1
case-3781,1
case-3782,1
case-3783,1
case-3784,1
case-3785,1
case-3786,1
case-3787,1
case-3788,1
case-3789,1
case-3790,1
case-3791,1
case-3792,1
case-3793,1
case-3794,1
case-3795,1
case-3796,1
case-3797,1
case-3798,1
case-3799,1
case-3800,1
case-3801,1
case-3802,1
case-3803,1
case-3804,1
case-3805,1
case-3806,1
case-3807,1
case-3808,1
case-3809,1
case-3810,1
case-3811,1
case-3812,1
case-3813,1
case-3814,1
case-3815,1
case-3816,1
case-3817,1
case-3818,1
case-3819,1
case-3820,1
case-3821,1
case-3822,1
case-3823,1
case-3824,1
case-3825,1
case-3826,1
case-3827,1
case-3828,1
case-3829,1
case-3830,1
case-3831,1
case-3832,1
case-3833,1
case-3834,1
case-3835,1
case-3836,1
case-3837,1
case-3838,1
case-3839,1
case-3840,1
case-3841,1
case-3842,1
case-3843,1
case-3844,1
case-3845,1
case-3846,1
case-3847,1
case-3848,1
case-3849,1
case-3850,1
case-3851,1
case-3852,1
case-3853,1
case-3854,1
case-3855,1
case-3856,1
case-3857,1
case-3858,1
case-3859,1
case-3860,1
case-3861,1
case-3862,1
case-3863,1
case-3864,1
case-3865,1
case-3866,1
case-3867,1
case-3868,1
case-3869,1
case-3870,1
case-3871,1
case-3872,1
case-3873,1
case-3874,1
case-3875,1
case-3876,1
case-3877,1
case-3878,1
case-3879,1
case-3880,1
case-3881,1
case-3882,1
case-3883,1
case-3884,1
case-3885,1
case-3886,1
case-3887,1
case-3888,1
case-3889,1
case-3890,1
case-3891,1
case-3892,1
case-3893,1
case-3894,1
case-3895,1
case-3896,1
case-3897,1
case-3898,1
case-3899,1
case-3900,1
case-3901,1
case-3902,1
case-3903,1
case-3904,1
case-3905,1
case-3906,1
case-3907,1
case-3908,1
case-3909,1
case-3910,1
case-3911,1
case-3912,1
case-3913,1
case-3914,1
case-3915,1
case-3916,1
case-3917,1
case-3918,1
case-3919,1
case-3920,1
case-3921,1
case-3922,1
case-3923,1
case-3924,1
case-3925,1
case-3926,1
case-3927,1
case-3928,1
case-3929,1
case-3930,1
case-3931,1
case-3932,1
case-3933,1
case-3934,1
case-3935,1
case-3936,1
case-3937,1
case-3938,1
case-3939,1
case-3940,1
case-3941,1
case-3942,1
case-3943,1
case-3944,1
case-3945,1
case-3946,1
case-3947,1
case-3948,1
case-3949,1
case-3950,1
case-3951,1
case-3952,1
case-3953,1
case-3954,1
case-3955,1
case-3956,1
case-3957,1
case-3958,1
case-3959,1
case-3960,1
case-3961,1
case-3962,1
case-3963,1
case-3964,1
case-3965,1
case-3966,1
case-3967,1
case-3968,1
case-3969,1
case-3970,1
case-3971,1
case-3972,1
case-3973,1
case-3974,1
case-3975,1
case-3976,1
case-3977,1
case-3978,1
case-3979,1
case-3980,1
case-3981,1
case-3982,1
case-3983,1
case-3984,1
case-3985,1
case-3986,1
case-3987,1
case-3988,1
case-3989,1
case-3990,1
case-3991,1
case-3992,1
case-3993,1
case-3994,1
case-3995,1
case-3996,1
case-3997,1
case-3998,1
case-3999,1
case-4000,1
